289,,,,,289,,,,,289,,,,289,,,,,,,289,,"ไม่สนใจส่วนใหญ่ โควตาหมดไว เลยไม่ค่อยได้ใช้ระบบ หรือออกจาก สปสช. AIติดภาษาถิ่น"""
รายชื่อลูกค้า,,,,,ติดตามสถานะ PresScribe AI,,,,,ติดตามสถานะ iService,,,,สถานะโทรเชิญชวน,,,,,,,สถานะโทรเชิญชวน MED AI,,
ลำดับ,รหัสหน่วยบริการ,ชื่อลูกค้า,  จังหวัด,BD,สถานะ Provider ID,สถานะการใช้งานระบบ AI,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะ BD,วันที่ปรับสถานะ,หมายเหตุ,Feedback, สถานะโทรติดตาม,รหัสหน่วยบริการ,ai,service, ,หมายเหตุ,Service ที่มี,MED AI,วันที่ติดต่อล่าสุด,feedback
68,49448,คลินิกเวชกรรมคลินิกนายแพทย์พชร,กำแพงเพชร,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,49448,ติดต่อใหม่,ติดต่อใหม่,17/2/2026,"23/1/2026 หมอแจ้งว่าตอนนี้กำลังจะไปตรวจคนไข้ ให้ติดต่อพรุ่งนี้บ่ายๆ ว่าง
29/1/2026 ไม่รับสาย
17/02/26 หมอตรวจคนไข้ ให้ติดต่อช่วงบ่าย",,0.ยังไม่ได้ติดต่อ,,
69,30553,คลินิกแพทย์หญิงรุ่งฤดี,สตูล,จตุพร ผาสุจิต,-,-,,,,-,,,,รอพิจารณา,30553,รอพิจารณา,รอพิจารณา,15/1/2026,ทางคลินิกติดปัญหากำลังเปลี่ยนชื่อคลินิกอยู่ ไม่ได้ใช้สิทธิบัตรทองเลย แจ้งว่าถ้าสนใจติดต่อเจ้าหน้าที่ได้เลย,,0.ยังไม่ได้ติดต่อ,,
70,48903,คลินิกเวชกรรมนายแพทย์ไพบูรณ์,ขอนแก่น,ณิชกุล เจริญสุข,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,48903,ไม่สนใจ AI,ไม่สนใจ iService,14/1/2026,คุณหมอแจ้งว่า ออกจาก สปสช.เเล้ว เลยไม่ได้ใช้ EHP และมีโปรแกรมอื่นใช้เล้ว,,0.ยังไม่ได้ติดต่อ,,
71,46849,คลินิกเวชกรรมหมอปิยพงษ์,มหาสารคาม,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,46849,ไม่สนใจ AI,ไม่สนใจ iService,29/1/2026,"โทรไม่ติด
29/1/2026 ต้องการใช้ Read only เนื่องจากไม่ได้ไปต่อกับ สปสช. เลยยังไม่สนใจบริการเสริมของ EHP",,0.ยังไม่ได้ติดต่อ,,
72,47316,คลินิกนายแพทย์อมรธีร์,อำนาจเจริญ,จตุพร ผาสุจิต,0.ยังไม่มี Provider ID สำหรับคลินิก,แจ้ง BD ส่งเอกสาร Provider ID,19/02/2026,"13/02/2026 ติดต่อไปแล้ว ยังไม่รับสาย
19/02/2026 ติดต่อไปสอบถามยังไม่รับสาย มีติดตามผ่านไลน์เพิ่มเติม",,2. นำส่ง User ให้ลูกค้าเเล้ว,26/2/2026,"เปิดระบบ นำส่งให้ลูกค้า
26/2/2026 ลูกค้าแจ้งว่ายังไม่สะดวกคุย",,สนใจ AI+iService,47316,สนใจ AI,สนใจ iService,15/1/2026,หมอแจ้งว่า สนใจทั้งคู่,มี iservice,0.ยังไม่ได้ติดต่อ,,ไม่รับสาย
73,49570,คลินิกเวชกรรมนายแพทย์ทรงพล,นครราชสีมา,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,49570,ไม่สนใจ AI,ไม่สนใจ iService,14/1/2026,แจ้งว่าอาจจะยังไม่สะดวก เนื่องจากสปสช.สิทหมดไว ,,0.ยังไม่ได้ติดต่อ,,
74,49219,คลินิกเวชกรรมแพทย์หญิงปนัดดา,เพชรบูรณ์,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,49219,ไม่สนใจ AI,ไม่สนใจ iService,12/2/2026,"ไม่รับสาย
29/1/2026 ไม่รับสาย
09/02/26 ไม่รับสาย
12/02/26 คุณหมอแจ้งว่ายังดีกว่าค่ะ",,0.ยังไม่ได้ติดต่อ,,
75,51088,คลินิกเวชกรรมนายแพทย์ศุภสิทธิ์,เพชรบูรณ์,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,รอพิจารณา,51088,รอพิจารณา,รอพิจารณา,15/1/2026,อธิบายรายละเอียดเเล้ว ช่วงนี้คุณหมอติดปัญหาเรื่องขอเลข TOKEN อยู่ ซักอาทิตย์หน้าอาจจะพิจารณา,,0.ยังไม่ได้ติดต่อ,,
76,49847,คลินิกนายแพทย์กฤษฎา,มุกดาหาร,ธนาภรณ์ สายทองดี,-,-,,,,3. ลูกค้าทดลองใช้,26/1/2026,26/02/26 เข้าใช้งานระบบ,,สนใจ iService,49847,ไม่สนใจ AI,สนใจ iService,15/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
77,43061,อีสเทิร์น สยาม คลินิกเวชกรรม สาขา WHA 36 นิคม ซ.6,ระยอง,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,43061,ติดต่อใหม่,ติดต่อใหม่,27/1/2026,"ไม่รับสาย 14.32 น.
27/1/2026 ติดตามกับทางผู้บริหาร",,0.ยังไม่ได้ติดต่อ,,
78,47319,นายแพทย์ปัณณธรคลินิกเวชกรรม,อำนาจเจริญ,จตุพร ผาสุจิต,1. ไฟล์ excel เพิ่มชื่อ,4.ลงทะเบียนใช้งานระบบ AI,19/02/2026,"18/02/26 คลินิกเเจ้งสนใจระบบ
19/02/2026 นำส่งเอกสารสำหรับการขอทดสอบการใช้งานระบบ",,2. นำส่ง User ให้ลูกค้าเเล้ว,27/2/2026,"18/02/26 สนใจ iservice
19/02/26 BD แจ้งว่าส่ง User แล้ว
27/2/2026 นำส่งวิธีการใช้งานเข้าไปให้ใหม่",,สนใจ AI+iService,47319,สนใจ AI,สนใจ iService,18/2/2026,"เจ้้าหน้าที่เเจ้งว่า คุณหมอปัณณธรติดอีกสาย อีกครึ่ง ชม.โทรมาใหม่
29/1/2026 ไม่รับสาย
18/02/26 หมอสนใจทั้ง 2 ระบบ แต่ AI อาจจะมีปัญหาด้านภาษาถิ่มแต่ขอลองดูก่อน",มี iservice,0.ยังไม่ได้ติดต่อ,,
79,48253,หมอนิงสหคลินิก,ปัตตานี,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,48253,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"หมอเเจ้งว่า ตอนนี้ติดตรวจคนไข้อยู่ที่โรงพยาบาลค่า
29/1/2026 ติดต่อใหม่อีกทีช่วงบ่าย",,0.ยังไม่ได้ติดต่อ,,
80,49814,คลินิกเวชกรรมหมอฤทัยรัตน์,ลำพูน,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,49814,ไม่สนใจ AI,ไม่สนใจ iService,16/1/2026,ตั้งแต่วันที่ 12 มาไม่ได้ใช้ระบบเลย เนื่องจากไม่ได้เบิกเคลมแล้ว,,0.ยังไม่ได้ติดต่อ,,
81,43851,คลินิกเวชกรรมหมอชัชวาล,เชียงราย,ณิชกุล เจริญสุข,-,-,,,,3. ลูกค้าทดลองใช้,10/2/2026,"เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน
10/02/26 ใช้งานล่าสุด",ดูต้นทุน + กำไร รายคน ราย HN ไม่ได้,สนใจ iService,43851,ไม่สนใจ AI,สนใจ iService,16/1/2026,สนใจ iservice,มี iservice,0.ยังไม่ได้ติดต่อ,,
82,35678,นายแพทย์โสมนัสคลินิกเวชกรรม,บุรีรัมย์,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,35678,ไม่สนใจ AI,ไม่สนใจ iService,14/1/2026,ยังไม่พร้อมใช้งาน,,0.ยังไม่ได้ติดต่อ,,
83,51549,คลินิกเวชกรรมหมอญาณกิตติ์,ลำพูน,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,51549,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"หมอแจ้งว่าตอนนี้ยังไม่สะดวก
29/1/2026 ตอนนี้ติดคนไข้อยู่ยังไม่สะดวก",,0.ยังไม่ได้ติดต่อ,,
84,49569,คลินิกเวชกรรมแพทย์กิตตินัทธ์,สิงห์บุรี,ธนวัฒน์ เศวตวงศ์,0.ยังไม่มี Provider ID สำหรับคลินิก,แจ้ง BD ส่งเอกสาร Provider ID,19/01/2026,,,-,,,,สนใจ AI,49569,สนใจ AI,ไม่สนใจ iService,16/1/2026,สนใจ AI,มี iservice,0.ยังไม่ได้ติดต่อ,,
85,43617,โอบอ้อมคลินิกเวชกรรม,กรุงเทพมหานคร,จตุพร ผาสุจิต,-,-,,,,3. ลูกค้าทดลองใช้,25/12/2025,ใช้งานล่าสุเด 25/12/26,,สนใจ iService,43617,ไม่สนใจ AI,สนใจ iService,13/1/2026,13/01 ติดต่อเเล้ว บอกว่าไม่ใช่ค่ะ เเละกดวางสายใส่ รอพี่หนึ่งติดต่อ / พี่หนึ่งติดต่อแล้ว เเจ้งว่าขอสอบถามหมอให้ก่อนเรื่อง AI,มี iservice,0.ยังไม่ได้ติดต่อ,,
86,48131,คลินิกเวชกรรมหมอซากีเราะ,นราธิวาส,จตุพร ผาสุจิต,2.4 ทางคลินิกกด Activate,อยู่ระหว่างสมัคร Provider ID,19/02/2026,"11/02/26 ได้รับ License AI ทางเมล
13/02/26 เเจ้งทีมเทคนิคเซ็ต License 
16/02/26 ทีมเทคนิคเซ็ตระบบเเล้ว รอนัดหมายเทรนนิ่งใช้งาน
19/02/2026 อัปเดตสมัคร Provider ID ในหน่วยคลินิกก่อน / นำเข้าข้อมูลเเล้ว รดหมอกด activate",,2. นำส่ง User ให้ลูกค้าเเล้ว,12/2/2026,เปิดระบบ นำส่งให้ลูกค้า,,สนใจ AI+iService,48131,สนใจ AI,สนใจ iService,16/1/2026,สนใจทั้ง 2 ระบบ,มี iservice,0.ยังไม่ได้ติดต่อ,,21/01/26 ยังไม่เริ่มใช้งาน
87,49900,คลินิกเวชกรรมนายแพทย์ธีรศักดิ์,นครราชสีมา,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,49900,ไม่สนใจ AI,ไม่สนใจ iService,14/1/2026,อธิบายรายละเอียดเลเ้วทางคุณหมอยังไม่สนใจ คุณหมอแจ้งว่าจะออกจาก สปสช.เเล้ว,,0.ยังไม่ได้ติดต่อ,,
88,48508,แพทย์ซุฮายลาห์ คลินิกเวชกรรม,ยะลา,จตุพร ผาสุจิต,-,-,,,,5.ยกเลิกใช้งาน,27/2/2026,"เปิดระบบ นำส่งให้ลูกค้า
27/2/2026 ช่วงนี้ติดเดือนบวชของบุสลิม ทำให้คนไข้น้อย ฟังก์ชันอื่นๆจึงคิดว่าไม่สนใจใช้งานระบบ",ช่วงนี้ติดเดือนบวชของบุสลิม ทำให้คนไข้น้อย ฟังก์ชันอื่นๆจึงคิดว่าไม่สนใจใช้งานระบบ,สนใจ iService,48508,ไม่สนใจ AI,สนใจ iService,16/1/2026,สนใจ Iservice ทางคลินิก ไม่ได้เชื่อม สปสช.แล้ว ไปดูหน้าจอของเพื่อน มีเทมเพลตส่งตรวจเกี่ยวกับชำระเงิน แต่ของทางคลินิกไม่มี เจเ้งให้พี่หนึ่งส่งคู่มือให้อีกที,มี iservice,0.ยังไม่ได้ติดต่อ,,ไม่รับสาย
89,49587,คลินิกเวชกรรมนายแพทย์สานิตย์,อุตรดิตถ์,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,49587,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"คุณหมอแจ้งว่า ตอนนี้ยังไม่สะดวกเลยครับ ติดต่อมาใหม่พรุง่นี้
29/1/2026 ติดต่ออีกทีช่วงบ่าย",,0.ยังไม่ได้ติดต่อ,,
90,37005,คลินิกเวชกรรมแพทย์เผ่าพงศ์,ลำพูน,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,37005,ไม่สนใจ AI,ไม่สนใจ iService,16/1/2026,คุณหมอแจ้งว่าไม่สนใจ เนื่องจาก สปสช.เปลี่ยนระบบใหม่เลยไม่ค่อยได้ใช้,,0.ยังไม่ได้ติดต่อ,,
91,45049,คลินิกเวชกรรมนายแพทย์ภุชงค์,นราธิวาส,ชลธิชา ช่วยพันธ์,3.มี Provider ID สำหรับคลินิกเเล้ว,7.เคยทดลองใช้เล้วยกเลิก,03/09/2025,รอหมอกด Activate / ทางคลินิกไม่พร้อมใช้งาน ไม่มีเวลาทดสอบ ลูกค้าเยอะ,,-,,,,สนใจ AI,45049,สนใจ AI,ไม่สนใจ iService,,,,0.ยังไม่ได้ติดต่อ,,
92,47673,คลินิกเวชกรรมหมอกษมพล,นครศรีธรรมราช,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,47673,ไม่สนใจ AI,ไม่สนใจ iService,29/1/2026,"รอพี่หนึ่งติดตาม เนื่องจากเปลี่ยนประเภทคลินิก
29/1/2026 ปัจจุบันยังขึ้นทะเบียนกับทาง สสจ. ยังไม่เสร็จจึงรอไว้ก่อน",,0.ยังไม่ได้ติดต่อ,,
93,49689,คลินิกเวชกรรมหมอกฤษดา,อุตรดิตถ์,จตุพร ผาสุจิต,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,49689,ไม่สนใจ AI,ไม่สนใจ iService,16/1/2026,ยังไม่สนใจ,,0.ยังไม่ได้ติดต่อ,,
94,51801,สถานพยาบาลหลักเมืองคลินิกเวชกรรม,ร้อยเอ็ด,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,51801,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"ไม่รับสาย
29/1/2026 ตอนนี้ยังไม่สะดวก",,0.ยังไม่ได้ติดต่อ,,
95,52402,รักษ์สุขภาพประชาอุทิศคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,52402,รอพิจารณา,รอพิจารณา,13/1/2026,13/01 ติดต่อคุณเเจง 0854686241 อธิบายรายละเอียดระบบ Iservice แล้ว,,0.ยังไม่ได้ติดต่อ,,
96,52490,รักษ์สุขภาพกำนันแม้นคลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,52490,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
97,52401,รักษ์สุขภาพซอยอารีย์คลินิกเวชกรรม,กรุงเทพมหานคร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,รอพิจารณา,52401,รอพิจารณา,รอพิจารณา,13/1/2026,เครือรักสุขภาพ,,0.ยังไม่ได้ติดต่อ,,
98,90097,คลินิกแพทย์วรรณวิภาคลินิกเฉพาะทางด้านเวชกรรมรังสีรักษาและมะเร็งวิทยา,ราชบุรี,ธนวัฒน์ เศวตวงศ์,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,27/2/2026,"19/02/26 พี่จุ๊ยเเจงว่า เปิดระบบและนำส่ง User ให้ทางคลินิกอาทิตย์ที่เเล้ว แต่ ยังไม่อ่านข้อความ
27/02/26 แพ็กเกจทดลอง iservice หมดอายุ",,สนใจ iService,90097,ไม่สนใจ AI,สนใจ iService,18/2/2026,"หมอเเจ้งว่า ยังไม่สะดวกเลยค่ะ ประมาณใกล้ 17.00 น. ได้มั้ยคะ
29/1/2026 ไม่รับสาย
18/02/26 สนใจ iservice",มี iservice,0.ยังไม่ได้ติดต่อ,,
99,51590,คลินิกเวชกรรมนายแพทย์ภูวณ,อุบลราชธานี,ชลธิชา ช่วยพันธ์,-,-,,,,3. ลูกค้าทดลองใช้,16/2/2026,เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน,16/2/2026 iservice คุณหมอแจ้งว่าทดลองเข้าไปศึกษามาแล้ว 1 ครั้ง แต่ยังไม่ได้ทดลองจริงๆ หากมีเวลาจะเข้าไปลองดูอีกครั้ง,สนใจ iService,51590,ไม่สนใจ AI,สนใจ iService,29/1/2026,"ไม่รับสาย
29/1/2026 ยังไม่สนใจใช้งาน PresScribe AI เพราะคลินิกอยู่ตามท้องถิ่นจะไม่ได้พูดภาษาไทย แต่สนใจตัว Dashboard อยู่
16/2/2026 iservice คุณหมอแจ้งว่าทดลองเข้าไปศึกษามาแล้ว 1 ครั้ง แต่ยังไม่ได้ทดลองจริงๆ หากมีเวลาจะเข้าไปลองดูอีกครั้ง",มี iservice,0.ยังไม่ได้ติดต่อ,,
100,51572,คลินิกนายแพทย์สุดสาคร,อุบลราชธานี,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,51572,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"ไม่รับสาย
29/1/2026 หมอแจ้งว่าให้ติดต่ออีกทีเสาร์บ่าย",,0.ยังไม่ได้ติดต่อ,,
101,51502,คลินิกเวชกรรมนายแพทย์กรกช,อุบลราชธานี,ชลธิชา ช่วยพันธ์,-,-,,,,3. ลูกค้าทดลองใช้,16/2/2026,เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน, iservice คุณหมอแจ้งว่ายังไม่มีเวลาเข้าไปทดลองใช้งาน เดี๋ยวจะเข้าไปทดลองใช้งานและแจ้งฟีดแบกให้อีกครั้ง,สนใจ iService,51502,ไม่สนใจ AI,สนใจ iService,16/1/2026,"สนใจ iservice
16/2/2026  iservice คุณหมอแจ้งว่ายังไม่มีเวลาเข้าไปทดลองใช้งาน เดี๋ยวจะเข้าไปทดลองใช้งานและแจ้งฟีดแบกให้อีกครั้ง",มี iservice,0.ยังไม่ได้ติดต่อ,,
102,51973,คลินิกเฉพาะทางด้านเวชกรรมเวชศาสตร์ครอบครัวจุฑามาศ,นครราชสีมา,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,51973,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"แจ้งว่าพี่ติดงานอยู่ค่าเป็นพน.ตอนเที่ยงก็ได้นะคะ
29/1/2026 ติดต่ออีกทีช่วงบ่าย",,0.ยังไม่ได้ติดต่อ,,
103,51722,ปทุมมาคลินิกเวชกรรม,นครราชสีมา,จตุพร ผาสุจิต,-,-,,,,-,,,,ติดต่อใหม่,51722,ติดต่อใหม่,ติดต่อใหม่,18/2/2026,"คุณหมอเเจ้งว่า พอดีประชุมอยู่ค่า
29/1/2026 ฝากข้อความ
18/02/26 ไม่รับสาย
19/02/26 ไม่รับสาย",,0.ยังไม่ได้ติดต่อ,,
104,49247,หมอแทน คลินิกเวชกรรม,ยโสธร,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ติดต่อใหม่,49247,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"หมอเเจ้งว่าให้ส่งข้อมูลให้ทางไลน์เพื่อพิจารณา
29/1/2026 ติดต่ออีกทีช่วงบ่าย",,0.ยังไม่ได้ติดต่อ,,
105,51642,คลินิกเฉพาะทางเวชกรรมเวชศาสตร์ครอบครัว,นราธิวาส,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,51642,ไม่สนใจ AI,ไม่สนใจ iService,29/1/2026,"ทางคลินิกเเจ้งว่าตอนนี้ไม่สะดวกนะคะ เดี๋ยวค่อยติดต่อใหม่นะคะ
29/1/2026 ยังไม่สนใจ",,0.ยังไม่ได้ติดต่อ,,
106,48906,คลินิกเวชกรรมแพทย์หญิงปาลินี,ร้อยเอ็ด,ณิชกุล เจริญสุข,-,-,,,,-,,,,ติดต่อใหม่,48906,ติดต่อใหม่,ติดต่อใหม่,12/2/2026,"เหมือนเบอร์ผิด
29/1/2026 080 623 6566 ใช้เบอร์นี้ แต่ติดต่อไปก็ไม่รับ
12/02/26 เจ้าหน้าทีรับสาย หมอไปประชุมหลับมาวันเสาร์ ติดต่อใหม่",,0.ยังไม่ได้ติดต่อ,,
107,52010,คลินิกเวชกรรมแพทย์เอกวิชญ์,พิษณุโลก,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,52010,ไม่สนใจ AI,ไม่สนใจ iService,29/1/2026,"ไม่รับสาย
29/1/2026  ยังก่อนแล้วกันครับ ช่วงนี้คนไข้ไม่ค่อยมีด้วยครับ",,0.ยังไม่ได้ติดต่อ,,
108,52143,คลินิกเวชกรรมแพทย์กฤตธีธัช,บุรีรัมย์,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,รอพิจารณา,52143,รอพิจารณา,รอพิจารณา,15/1/2026,อธิบายรายละเอีดทั้ง 2 ระบบเรียบร้ิย รอพิจารณา,,0.ยังไม่ได้ติดต่อ,,
109,43849,คลินิกเวชกรรมหมอนิตยา,เชียงราย,ณิชกุล เจริญสุข,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,43849,ไม่สนใจ AI,ไม่สนใจ iService,20/1/2026,คุหมอแจ้งว่า ตอนนี้ยังค่า,,0.ยังไม่ได้ติดต่อ,,
110,51596,คลินิกเวชกรรมแพทย์ฮัสปาน,ปัตตานี,ธนาภรณ์ สายทองดี,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,51596,ไม่สนใจ AI,ไม่สนใจ iService,20/1/2026,หมอแจ้งว่า น่าจะเเอดวานส์ไป สำหรับคลินิก,,0.ยังไม่ได้ติดต่อ,,
111,27280,เสน่ห์คลินิกเวชกรรม,ร้อยเอ็ด,ธนวัฒน์ เศวตวงศ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,27280,ไม่สนใจ AI,ไม่สนใจ iService,20/1/2026,หมอเเจ้งว่า ไม่เข้าร่วม สปสช. เเล้ว,,0.ยังไม่ได้ติดต่อ,,
112,52371,คลินิกเวชกรรมหมอจริยา,บุรีรัมย์,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,52371,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"หมอแจ้งว่า ติดงานอยู่ค่า 10.27 น.
29/1/2026 ตอนนี้ติดเคสอยู่ ติดต่ออีกทีช่วงบ่าย",,0.ยังไม่ได้ติดต่อ,,
113,52223,นิยตาคลินิกเวชกรรม,กรุงเทพมหานคร,ชลธิชา ช่วยพันธ์,-,-,,,,3. ลูกค้าทดลองใช้,16/2/2026,,,สนใจ iService,52223,ไม่สนใจ AI,สนใจ iService,13/1/2026,13/01 อธิบายรายละเอียด AI เเล้ว คุณหมอเเจ้งว่า ไม่ค่อยสะดวก ที่คลินิกมีคนพูดเเทรกตลอด,มี iservice,0.ยังไม่ได้ติดต่อ,,
114,51650,ทิพย์เจริญคลินิกเวชกรรม,ลำพูน,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ติดต่อใหม่,51650,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"หมอเเจ้งว่า พอดีติดงานอยู่ค่า เดี๋ยวยังไงจะติดต่อกลับนะคะ
29/1/2026 ยังไม่สะดวกรอก่อน",,0.ยังไม่ได้ติดต่อ,,
115,51658,คลินิกเวชกรรมหมอชาญวิทย์,เชียงราย,ณิชกุล เจริญสุข,1.1 ส่งให้ลูกค้ากรอก,อยู่ระหว่างสมัคร Provider ID,10/02/2026,รอหมอกรอกข้อมูล Provider ID,,2. นำส่ง User ให้ลูกค้าเเล้ว,17/2/2026,"เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน
17/02/26 BD ติดตาม ลูกค้าเเจ้งว่าจะทดลองใช้",,สนใจ AI+iService,51658,สนใจ AI,สนใจ iService,29/1/2026,"หมอขับรถอยู่
29/1/2026 สนใจอยู่ครับ แจ้งข้อมูลเพิ่มเติมได้เลยครับผม",มี iservice,0.ยังไม่ได้ติดต่อ,,
116,52633,คลินิกเวชกรรมหมอฝน,ร้อยเอ็ด,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,52633,ไม่สนใจ AI,ไม่สนใจ iService,,ยังไม่ควรติดต่อ,มี iservice,0.ยังไม่ได้ติดต่อ,,
117,51950,คลินิกแพทย์จอมขวัญ,พิษณุโลก,ณิชกุล เจริญสุข,-,-,,,,-,,,,ติดต่อใหม่,51950,ติดต่อใหม่,ติดต่อใหม่,29/1/2026,"หมอแจ้งว่า พอดียังทำงานอยู่อะค่ะ
29/1/2026 ตอนนี้ติดเคสอยู่ยังไม่สะดวกคุย",,0.ยังไม่ได้ติดต่อ,,
118,52121,คลินิกเวชกรรมหมอรุสลี,ปัตตานี,ชลธิชา ช่วยพันธ์,-,-,,,,-,,,,ไม่สนใจทั้งสองระบบ,52121,ไม่สนใจ AI,ไม่สนใจ iService,29/1/2026,"ไม่รับสาย
29/1/2026 ยังไม่สนใจ",,0.ยังไม่ได้ติดต่อ,,
119,52756,คลินิกเฉพาะทางด้านเวชกรรมกระดูกและข้อแพทย์อโนช,ลำพูน,ชลธิชา ช่วยพันธ์,-,-,,,,2. นำส่ง User ให้ลูกค้าเเล้ว,20/1/2026,เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน,,สนใจ iService,52756,ไม่สนใจ AI,สนใจ iService,20/1/2026,หมอสนใจ iService,,0.ยังไม่ได้ติดต่อ,,
120,53736,คลินิกเวชกรรมหมอรัตเกล้า,พิษณุโลก,ชลธิชา ช่วยพันธ์,1.1 ส่งให้ลูกค้ากรอก,อยู่ระหว่างสมัคร Provider ID,04/02/2026,รอหมอกรอกข้อมูล Provider ID,,2. นำส่ง User ให้ลูกค้าเเล้ว,16/2/2026,"11/02/26 เปิดระบบให้กับลูกค้าเรียบร้อยแล้ว รอทางคลินิกเข้ามาทดลองใช้งาน
16/2/2026 คุณหมอแจ้งว่ายังไม่ได้เข้ามาทดลองใช้งาน เดี๋ยว feedback มาอีกที",,สนใจ AI+iService,53736,สนใจ AI,สนใจ iService,30/1/2026,"ไม่รับสาย
30/1/2026 คุณหมอสนใจทดสอบใช้งานทั้ง 2 Service ถ้าใช้แล้วไม่ตอบโจทย์จะยกเลิกในภายหลัง
16/2/2026 คุณหมอแจ้งว่ายังไม่ได้เข้ามาทดลองใช้งาน เดี๋ยว feedback มาอีกที",มี iservice,0.ยังไม่ได้ติดต่อ,,
